Basin,Mean dH,dh_median_smooth,Smooth dH,std_dh,error_dh,time,Dates,dates
CE,0.154847067287877,0.236102395895917,0.218975186833758,2.28469247185936,0.0289340695975467,2016.48907103825,2016,2016-06-27 23:59:59.999997
CE,0.0833942989205706,0.227351521437633,0.225622301266967,2.53176072456951,0.0325603141869436,2016.87167078374,2016,2016-11-15 00:45:22.191783
CE,0.310037917746903,0.227351521437633,0.232453753494116,2.15416440378223,0.0274934998863914,2017.25479452055,2017,2017-04-03 23:59:59.999998
CE,0.227351521437633,0.232545234758988,0.237727982309559,2.5267156021114,0.0320686374623386,2017.63835616438,2017,2017-08-22 00:00:00.000001
CE,0.232545234758988,0.30315140087519,0.238384105108866,2.09095515212179,0.0267019909795895,2018.02191780822,2018,2018-01-08 23:59:59.999997
CE,0.401168535813906,0.256880279846726,0.231245831412555,2.733692358573,0.0347937709635642,2018.40547945205,2018,2018-05-29 00:00:00.000000
CE,0.30315140087519,0.256880279846726,0.214418163719555,2.61055347291565,0.033071486634351,2018.78904109589,2018,2018-10-15 23:59:59.999996
CE,0.256880279846726,0.256880279846726,0.1881586291309,2.01204501312088,0.0258999577266902,2019.17260273973,2019,2019-03-05 00:00:00.000000
CE,0.130570404573645,0.130570404573645,0.154763054852613,2.36444565840443,0.0304009772868347,2019.55616438356,2019,2019-07-23 00:00:00.000003
CE,0.0676711499069875,0.0988962758420444,0.11758055066962,3.06758862642783,0.0388613821977334,2019.93954637323,2019,2019-12-09 22:25:34.426227
CE,-0.00594338239391795,0.0676711499069875,0.079773493739341,2.72999326722526,0.0349941623202983,2020.32240437158,2020,2020-04-28 00:00:00.000002
CE,0.0988962758420444,0.0179854430493188,0.0435331524223212,3.00092001227737,0.0375938267930415,2020.70491803279,2020,2020-09-15 00:00:00.000002
CE,0.0179854430493188,-0.00594338239391795,0.0100442549638412,2.75795073539261,0.0348744659494057,2021.08781345909,2021,2021-02-02 01:14:45.245900
CE,-0.0311562603954268,-0.0311562603954268,-0.0199745601452769,2.96858945243601,0.0372034071497733,2021.47123287671,2021,2021-06-21 23:59:59.999999
CE,-0.0910834605340923,-0.0565856160621989,-0.0457523900447421,3.08254751820486,0.038781086239142,2021.85479452055,2021,2021-11-09 00:00:00.000002
CE,-0.0565856160621989,-0.0910834605340923,-0.0663467614893759,3.20708708246906,0.0404279655238692,2022.23835616438,2022,2022-03-28 23:59:59.999998
CE,-0.185284182173426,-0.0910834605340923,-0.0809758054855067,3.25597860998481,0.0407538948824913,2022.62191780822,2022,2022-08-16 00:00:00.000001
CE,-0.139327221865195,-0.100301963199321,-0.0895503287830816,3.35077734351778,0.042219177288464,2023.00547945205,2023,2023-01-02 23:59:59.999997
CE,-0.0763684990368465,-0.100301963199321,-0.0929355424063807,3.3883571972109,0.0429456825062339,2023.38904109589,2023,2023-05-23 00:00:00.000001
CE,-0.100301963199321,-0.0763684990368465,-0.0928153172323641,3.37326165457996,0.0426585230714568,2023.77260273973,2023,2023-10-09 23:59:59.999997
CE,-0.0754896800913981,-0.0754896800913981,-0.0912179164380561,3.45109237463089,0.0432604964105973,2024.15568904858,2024,2024-02-26 23:34:21.369864
CE,-0.0728029934282557,-0.0754896800913981,-0.0899124233994278,4.7845765005438,0.0998739342398569,2024.53825136612,2024,2024-07-16 00:00:00.000000
CW,0,0.052063638347537,0.0802408126247476,7.45815257259955,0.114308740213972,1997.32328767123,1997,1997-04-29 00:00:00.000002
CW,0.052063638347537,0.052063638347537,0.0821010118845477,6.38926654024677,0.096398528440668,1997.70684931507,1997,1997-09-15 23:59:59.999998
CW,0.274819758558269,0.052063638347537,0.0861425393724202,6.852488631562,0.103001279331798,1998.0904109589,1998,1998-02-03 00:00:00.000002
CW,0.0770090186315535,0.052063638347537,0.0931375874258699,6.39189869796872,0.0952002151227947,1998.47397260274,1998,1998-06-22 23:59:59.999998
CW,-0.0283251641963136,0.0770090186315535,0.104202679626469,6.36132047457475,0.0943998978471532,1998.85753424658,1998,1998-11-10 00:00:00.000001
CW,0.0284314196205351,0.0770090186315535,0.120257444217678,6.18379594822707,0.0923984357960413,1999.24109589041,1999,1999-03-29 23:59:59.999997
CW,0.0882769009717159,0.0882769009717159,0.141319339721308,6.22944481113266,0.0932158970378947,1999.62465753425,1999,1999-08-17 00:00:00.000000
CW,0.247100835434805,0.223780000391872,0.166205842479579,5.99367508951301,0.0900719138046082,2000.00794595404,2000,2000-01-03 21:47:50.136984
CW,0.226408869433342,0.226408869433342,0.192923386193642,6.04727769763177,0.0895917571936173,2000.39071038251,2000,2000-05-22 23:59:59.999998
CW,0.223780000391872,0.242432238816168,0.219365902198098,5.73036216260706,0.0853284387788923,2000.77322404372,2000,2000-10-09 23:59:59.999999
CW,0.242432238816168,0.242432238816168,0.243811392608402,5.36861854018341,0.0815394909736106,2001.1562130399,2001,2001-02-27 00:25:34.426228
CW,0.257143150577521,0.257143150577521,0.264971374493359,5.91120457774128,0.0963883005495284,2001.5397260274,2001,2001-07-17 00:00:00.000003
CW,0.282766255754402,0.282766255754402,0.281722885293366,5.74265669297043,0.0842144036582179,2001.92328767123,2001,2001-12-03 23:59:59.999999
CW,0.365680659821629,0.351121248203734,0.29306796790581,5.2125936653981,0.0784669746123485,2002.30684931507,2002,2002-04-23 00:00:00.000003
CW,0.369664616515661,0.351121248203734,0.298344239783356,5.81289198820261,0.0959008987478769,2002.6904109589,2002,2002-09-09 23:59:59.999999
CW,0.351121248203734,0.351121248203734,0.297545614803906,5.77573538622701,0.0864945118042855,2003.07397260274,2003,2003-01-28 00:00:00.000002
CW,0.235859068560446,0.322842153720923,0.291415901453943,4.99201063749344,0.0890862499931924,2003.45753424658,2003,2003-06-16 23:59:59.999998
CW,0.2967566079678,0.2967566079678,0.281104921511179,5.82956093426256,0.0866424249706175,2003.84105097687,2003,2003-11-03 23:36:23.606560
CW,0.322842153720923,0.240454211054135,0.26758660860787,5.34333914394419,0.0794773764314484,2004.22404371585,2004,2004-03-23 00:00:00.000003
CW,0.186007930805856,0.295760178799642,0.251103941674528,4.86548206232034,0.0726839303954347,2004.60655737705,2004,2004-08-10 00:00:00.000003
CW,0.240454211054135,0.240454211054135,0.230963160011462,5.01072161718151,0.0742512487527724,2004.98931806273,2004,2004-12-28 02:10:11.506853
CW,0.295760178799642,0.240454211054135,0.205881173325327,5.44837797288709,0.0818957800098728,2005.37260273973,2005,2005-05-17 00:00:00.000001
